Measurement number,Cluster number,Indices number,X-coordinate [mm],Y-coordinate [mm],Z-coordinate [mm],Row number,Column number,Slice number
427,1,427,-2,8,40.4,24,14,1
428,1,428,-2,9,40.4,25,14,1
429,1,429,-2,10,40.4,26,14,1
430,1,430,-2,11,40.4,27,14,1
431,1,431,-2,12,40.4,28,14,1
432,1,432,-2,13,40.4,29,14,1
433,1,433,-2,14,40.4,30,14,1
434,1,434,-2,15,40.4,31,14,1
435,1,435,-1,-15,40.4,1,15,1
436,1,436,-1,-14,40.4,2,15,1
437,1,437,-1,-13,40.4,3,15,1
438,1,438,-1,-12,40.4,4,15,1
439,1,439,-1,-11,40.4,5,15,1
440,1,440,-1,-10,40.4,6,15,1
441,1,441,-1,-9,40.4,7,15,1
442,1,442,-1,-8,40.4,8,15,1
443,1,443,-1,-7,40.4,9,15,1
444,1,444,-1,-6,40.4,10,15,1
445,1,445,-1,-5,40.4,11,15,1
446,1,446,-1,-4,40.4,12,15,1
447,1,447,-1,-3,40.4,13,15,1
448,1,448,-1,-2,40.4,14,15,1
449,1,449,-1,-1,40.4,15,15,1
450,1,450,-1,0,40.4,16,15,1
451,1,451,-1,1,40.4,17,15,1
452,1,452,-1,2,40.4,18,15,1
453,1,453,-1,3,40.4,19,15,1
454,1,454,-1,4,40.4,20,15,1
455,1,455,-1,5,40.4,21,15,1
456,1,456,-1,6,40.4,22,15,1
457,1,457,-1,7,40.4,23,15,1
458,1,458,-1,8,40.4,24,15,1
459,1,459,-1,9,40.4,25,15,1
460,1,460,-1,10,40.4,26,15,1
461,1,461,-1,11,40.4,27,15,1
462,1,462,-1,12,40.4,28,15,1
463,1,463,-1,13,40.4,29,15,1
464,1,464,-1,14,40.4,30,15,1
465,1,465,-1,15,40.4,31,15,1
466,1,466,0,-15,40.4,1,16,1
467,1,467,0,-14,40.4,2,16,1
468,1,468,0,-13,40.4,3,16,1
469,1,469,0,-12,40.4,4,16,1
470,1,470,0,-11,40.4,5,16,1
471,1,471,0,-10,40.4,6,16,1
472,1,472,0,-9,40.4,7,16,1
473,1,473,0,-8,40.4,8,16,1
474,1,474,0,-7,40.4,9,16,1
475,1,475,0,-6,40.4,10,16,1
476,1,476,0,-5,40.4,11,16,1
477,1,477,0,-4,40.4,12,16,1
478,1,478,0,-3,40.4,13,16,1
479,1,479,0,-2,40.4,14,16,1
480,1,480,0,-1,40.4,15,16,1
481,1,481,0,0,40.4,16,16,1
482,1,482,0,1,40.4,17,16,1
483,1,483,0,2,40.4,18,16,1
484,1,484,0,3,40.4,19,16,1
485,1,485,0,4,40.4,20,16,1
486,1,486,0,5,40.4,21,16,1
487,1,487,0,6,40.4,22,16,1
488,1,488,0,7,40.4,23,16,1
489,1,489,0,8,40.4,24,16,1
490,1,490,0,9,40.4,25,16,1
491,1,491,0,10,40.4,26,16,1
492,1,492,0,11,40.4,27,16,1
493,1,493,0,12,40.4,28,16,1
494,1,494,0,13,40.4,29,16,1
495,1,495,0,14,40.4,30,16,1
496,1,496,0,15,40.4,31,16,1
497,1,497,1,-15,40.4,1,17,1
498,1,498,1,-14,40.4,2,17,1
499,1,499,1,-13,40.4,3,17,1
500,1,500,1,-12,40.4,4,17,1
501,1,501,1,-11,40.4,5,17,1
502,1,502,1,-10,40.4,6,17,1
503,1,503,1,-9,40.4,7,17,1
504,1,504,1,-8,40.4,8,17,1
505,1,505,1,-7,40.4,9,17,1
506,1,506,1,-6,40.4,10,17,1
507,1,507,1,-5,40.4,11,17,1
508,1,508,1,-4,40.4,12,17,1
509,1,509,1,-3,40.4,13,17,1
510,1,510,1,-2,40.4,14,17,1
511,1,511,1,-1,40.4,15,17,1
512,1,512,1,0,40.4,16,17,1
513,1,513,1,1,40.4,17,17,1
514,1,514,1,2,40.4,18,17,1
515,1,515,1,3,40.4,19,17,1
516,1,516,1,4,40.4,20,17,1
517,1,517,1,5,40.4,21,17,1
518,1,518,1,6,40.4,22,17,1
519,1,519,1,7,40.4,23,17,1
520,1,520,1,8,40.4,24,17,1
521,1,521,1,9,40.4,25,17,1
522,1,522,1,10,40.4,26,17,1
523,1,523,1,11,40.4,27,17,1
524,1,524,1,12,40.4,28,17,1
525,1,525,1,13,40.4,29,17,1
526,1,526,1,14,40.4,30,17,1
527,1,527,1,15,40.4,31,17,1
528,1,528,2,-15,40.4,1,18,1
529,1,529,2,-14,40.4,2,18,1
530,1,530,2,-13,40.4,3,18,1
531,1,531,2,-12,40.4,4,18,1
532,1,532,2,-11,40.4,5,18,1
533,1,533,2,-10,40.4,6,18,1
534,1,534,2,-9,40.4,7,18,1
535,1,535,2,-8,40.4,8,18,1
536,1,536,2,-7,40.4,9,18,1
537,1,537,2,-6,40.4,10,18,1
538,1,538,2,-5,40.4,11,18,1
539,1,539,2,-4,40.4,12,18,1
540,1,540,2,-3,40.4,13,18,1
541,1,541,2,-2,40.4,14,18,1
542,1,542,2,-1,40.4,15,18,1
543,1,543,2,0,40.4,16,18,1
